n;nombre_es;nombre_en;categoria;puntuacion;descripcion;cumplimiento_en_juego;mejoras_para_100
1;Experiencia Esencial;Essential Experience;Diseñador;90;¿Qué experiencia quiero que viva el jugador? ¿Qué es esencial de esa experiencia? ¿Cómo puede mi juego capturar esa esencia?;"La esencia buscada es la travesía de 1492 vivida desde dentro: la incertidumbre del alisio, la soledad oceánica, el conocimiento técnico del Almirante. La doble carta (XV vs moderna), la matriz de coordenadas y el Diario sincronizado lo logran.";Una intro narrada de 30 s con la voz del Almirante reforzaría la esencia en el primer minuto.
2;Sorpresa;Surprise;Diseñador;88;¿Qué sorprenderá al jugador? ¿Sorprende la historia? ¿Sorprenden las reglas? ¿Sorprende cuando ven la portada o leen la caja?;"Eventos del Diario + ocho nuevos secundarios documentados: paxarillo cantor del 20 sept, mar alta sin viento del 23 sept, descripción de los naturales del 13 oct, combate de la Bahía de las Flechas, bautizo de Borinquen, aviso ignorado a Ovando, combate de Belén con Quibián. Aparición progresiva de la costa 3D al acercarse a tierra.";"Eventos del IV viaje aún subrepresentados (Lettera Rarissima, ratón rapiñador de Hernando)."
3;Diversión;Fun;Diseñador;80;¿Qué partes de mi juego son divertidas? ¿Qué partes deberían serlo más?;"Diversión por flow de explorador, asombro estético y riesgo viviente: ajustar velas, ver llegar la costa, sortear un huracán de las Indias, oír las campanas. El sistema de temporales climatológicos (chubasco, tormenta deshecha del Atlántico, huracán antillano, galerna, calma chicha, borrasca tropical) introduce eventos emergentes con riesgo real: tu travesía nunca es idéntica. Cuatro mini-juegos navales (astrolabio, cuadrante, sondaleza, corredera) con física honesta.";Encuentros narrativos con nativos en función del rumbo escogido.
4;Curiosidad;Curiosity;Diseñador;92;¿Qué preguntas pone mi juego en la mente del jugador? ¿Qué hago para que les importen? ¿Cómo logro que inventen más?;"«¿Cuántos días faltan para tierra?», «¿qué decidió Colón el 25 sept?», «¿qué isla es Guanahaní hoy?». Panel de hito + decisiones contrafactuales + glosario hover sobre términos del XV (abatimiento, deriva, ampolleta, singladura, estima, beaufort).";Una micro-cita del Diario al pulsar sobre un término del glosario.
5;Valor Endógeno;Endogenous Value;Diseñador;85;¿Qué tiene valor dentro de mi juego? ¿Cómo conecto con lo que importa al jugador en el mundo real?;"Valor endógeno: hitos históricos, integridad del casco, moral. Una lectura magistral del astrolabio (<0,5° de error) tiene valor mecánico explícito (+1,5 moral), y la bitácora exportable consagra las elecciones del jugador. El panel «Trayectoria del Almirante» ofrece telemetría exportable (tomas, error medio de altura, temporales sobrevividos, motines superados, fidelidad a la senda histórica) que da valor reificado a la práctica adquirida. Conecta con la satisfacción real de aprender navegación del XV.";"Ranking comparativo opcional del jugador con un perfil promedio de pilotos del XV (sólo local, sin ranking online)."
6;Resolución de Problemas;Problem Solving;Diseñador;82;¿Qué problemas requiere resolver mi juego? ¿Hay problemas ocultos que emergen?;"Problemas explícitos: configurar velas para el rumbo, leer la carta, decidir en los puntos críticos. Panel PLAZOS con cuenta atrás cuantificada: días para que se agote el agua dulce (70 d desde el embarque), días para el próximo hito histórico al ritmo actual, días hasta el casco crítico (40%) al ritmo actual de degradación. Colores por urgencia (verde / ámbar / rojo).";Plazos también para tensión de jarcia y motín (moral baja sostenida).
7;Tétrada Elemental;Elemental Tetrad;Diseñador;92;"Estética, Mecánica, Historia, Tecnología: ¿están las cuatro presentes? ¿Se refuerzan?";"Estética ahora 100% coherente (sprite SVG de línea + numerales romanos + monogramas serif Cinzel — sin emoji que rompa el siglo XV). Historia altísima, Mecánica media, Tecnología single-file elegante.";Subir la mecánica con más bucles cortos (cálculo de estima diaria a mano).
8;Diseño Holográfico;Holographic Design;Diseñador;80;Mirar el juego como un todo: ¿los elementos de las cuatro categorías se sostienen entre sí?;"Sí: el shader Gerstner alimenta el cabeceo, que alimenta la dificultad de mantener rumbo, que alimenta la angustia narrativa del Diario.";Reforzar el bucle moral-velocidad-decisión (más visible).
9;Unificación;Unification;Diseñador;96;¿Cuál es el tema del juego? ¿Todos los elementos lo refuerzan?;"Tema: cruzar lo desconocido con la técnica del XV. Crew, Diario, instrumentos, magnetismo 1492, y desde la última iteración también la iconografía y la tipografía (numerales romanos, monogramas serif, sprite de grabado) refuerzan unívocamente la ambientación. Cero ruptura visual moderna.";Sustituir los textos de UI Tailwind por una tipografía completamente coherente (eliminar las pocas clases Tailwind de utilidad que aún hay).
10;Resonancia;Resonance;Diseñador;98;¿Qué hay en mi juego que resuene poderosamente conmigo y con quien lo juegue?;"Resuena con la curiosidad por lo real: nombres documentados, fechas exactas, palabras del Almirante en castellano del XV. La iconografía actual — sellos en numerales romanos, monogramas en cuño de lacre, líneas de grabado — refuerza la inmersión a nivel preverbal: el jugador siente que está leyendo un manuscrito.";Imagen final «tu travesía vs. la histórica» con sello cerrando como una carta lacrada.
